BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS;X;Y;Z;INTERACTION TYPE
0;3;829407;0.343017;0;1;36.3637;37.8655;453.413;compt
0;6;843283;0.393697;0;0;117.837;-27.3603;930.276;phot
0;7;843283;0.247549;0;1;9.33912;-126.335;816.545;compt
0;4;880804;0.352016;0;1;-99.5937;-11.5063;846.078;compt
0;7;880804;0.321371;0;1;-29.1551;-133.779;873.673;compt
0;7;880804;0.321371;0;1;-28.0582;-139.149;883.561;phot
0;4;891757;0.433872;0;1;-124.872;12.2866;826.074;compt
0;4;891757;0.433872;0;1;-121.66;15.9148;830.283;phot
0;1;891757;0.0880797;0;1;-43.2016;-40.7931;435.881;compt
0;6;898590;0.377397;0;1;147.466;-33.8826;830.177;compt
0;7;898590;0.27723;0;2;-11.4686;-98.4303;847.73;compt
0;7;898590;0.27723;0;2;-12.874;-100.564;847.64;compt
0;7;898590;0.27723;0;2;-11.9956;-103.494;850.337;phot
0;0;899131;0.0397437;0;1;-31.52;41.4947;463.037;compt
0;1;899131;0.16082;0;1;-42.5698;-36.2169;481.184;compt
0;1;899131;0.16082;0;1;-41.3373;-36.0783;480.712;phot
0;5;965826;0.311749;0;1;-32.3392;119.637;927.064;compt
0;5;965826;0.311749;0;1;-32.5111;117.829;927.803;phot
0;7;965826;0.354697;0;2;-32.0068;-115.582;820.293;compt
0;7;965826;0.354697;0;2;-21.7668;-103.612;827.621;compt
0;5;1000928;0.327938;0;1;-4.50087;106.24;835.735;compt
0;6;1000928;0.0533559;0;1;100.496;11.5539;875.91;compt
0;4;1019210;0.327288;0;1;-96.2383;1.01389;922.553;compt
0;4;1019210;0.327288;0;1;-99.205;6.54752;922.512;phot
0;6;1019210;0.338598;0;1;144.223;17.7949;821.585;compt
0;6;1069894;0.356992;0;0;136.999;-34.6277;842.637;phot
0;3;1069894;0.0100515;0;1;37.2341;38.6656;451.757;compt
0;0;1119062;0.403682;0;1;-46.2876;41.122;447.07;compt
0;2;1119062;0.257953;0;1;37.3433;-49.9142;437.356;compt
0;2;1119062;0.257953;0;1;37.9693;-44.071;435.801;phot
0;4;1165501;0.283073;0;0;-107.253;-5.02609;849.773;phot
0;6;1165501;0.400618;0;4;143.047;34.716;821.719;compt
0;6;1165501;0.400618;0;4;149.877;21.9656;840.1;compt
0;6;1165501;0.400618;0;4;147.614;11.2708;852.267;compt
0;6;1165501;0.400618;0;4;120.921;7.06442;909.312;compt
0;4;1181173;0.257003;0;1;-96.5511;-1.10957;926.573;compt
0;4;1181173;0.257003;0;1;-101.474;-0.78008;933.383;phot
0;5;1181173;0.309282;0;1;-14.6824;133.088;847.848;compt
0;4;1189212;0.146388;0;0;-120.927;-33.4267;883.316;phot
0;6;1189212;0.237491;0;2;114.761;-9.20801;837.199;compt
0;6;1189212;0.237491;0;2;118.682;-29.1924;855.596;compt
0;0;1219846;0.186032;0;0;-43.2095;34.4947;452.761;phot
0;1;1219846;0.488335;0;3;-36.7892;-36.3329;435.385;compt
0;1;1219846;0.488335;0;3;-45.2631;-35.7522;467.731;compt
0;1;1219846;0.488335;0;3;-45.2711;-35.7462;467.718;compt
0;5;1233192;0.323648;0;1;12.2781;107.129;830.954;compt
0;6;1233192;0.33622;0;1;164.369;4.57796;875.602;compt
0;6;1233192;0.33622;0;1;166.641;6.55489;873.419;phot
0;6;1240887;0.260348;0;1;110.293;2.9058;831.873;compt
0;7;1240887;0.355765;0;0;4.71349;-99.6505;914.396;phot
