board;channel;timetag;energy;energyshort;flags
0;6;136858;0.662;0;4000
0;7;137373;0.662;0;4000
0;1;137438;0.662;0;4000
0;7;137591;0.20533;0;4000
0;0;137686;0.472879;0;4000
0;5;138150;0.662;0;4000
0;0;138258;0.470407;0;4000
0;2;138431;0.167736;0;4000
0;5;139083;0.662;0;4000
0;5;139169;0.246351;0;4000
0;4;139314;0.662;0;4000
0;1;139522;0.0526183;0;4000
0;2;139596;0.662;0;4000
0;3;139852;0.30582;0;4000
0;1;139983;0.108258;0;4000
0;3;139985;0.0422953;0;4000
0;3;140166;0.196295;0;4000
0;0;140432;0.38729;0;4000
0;7;140617;0.313057;0;4000
0;0;140778;0.140837;0;4000
0;4;141259;0.333311;0;4000
0;5;141259;0.328689;0;4000
0;4;141332;0.478867;0;4000
0;2;141421;0.463085;0;4000
0;7;142267;0.662;0;4000
0;1;142303;0.222486;0;4000
0;5;142888;0.207317;0;4000
0;1;143479;0.111843;0;4000
0;6;143490;0.662;0;4000
0;3;144681;0.133769;0;4000
0;5;144803;0.662;0;4000
0;1;145103;0.662;0;4000
0;5;145718;0.376383;0;4000
0;2;146380;0.491543;0;4000
0;1;146684;0.460104;0;4000
0;0;146690;0.282988;0;4000
0;3;146861;0.431576;0;4000
0;1;147213;0.544373;0;4000
0;3;147408;0.662;0;4000
0;3;147525;0.180958;0;4000
0;0;147930;0.189127;0;4000
0;3;148030;0.662;0;4000
0;2;148515;0.102538;0;4000
0;5;148516;0.133867;0;4000
0;7;148561;0.662;0;4000
0;5;148931;0.662;0;4000
0;5;148940;0.662;0;4000
0;5;149072;0.662;0;4000
0;3;149134;0.662;0;4000
0;3;149356;0.662;0;4000
0;2;149812;0.0202732;0;4000
0;7;150136;0.146248;0;4000
0;4;150184;0.30956;0;4000
0;7;150285;0.662;0;4000
0;2;150639;0.662;0;4000
0;6;150741;0.662;0;4000
0;2;150901;0.444872;0;4000
0;2;151154;0.662;0;4000
0;1;151252;0.357846;0;4000
0;1;151277;0.662;0;4000
0;1;151529;0.168364;0;4000
0;0;152521;0.0848479;0;4000
0;7;153475;0.0246984;0;4000
0;0;154641;0.241221;0;4000
0;6;154977;0.310859;0;4000
0;6;155038;0.160386;0;4000
0;0;155195;0.662;0;4000
0;5;155452;0.353442;0;4000
0;5;156089;0.662;0;4000
0;0;156290;0.505822;0;4000
0;1;156296;0.662;0;4000
0;2;156497;0.327224;0;4000
0;1;156510;0.39887;0;4000
0;0;156660;0.662;0;4000
0;7;156738;0.0293929;0;4000
0;6;156837;0.662;0;4000
0;7;157040;0.662;0;4000
0;1;157450;0.278858;0;4000
0;6;157554;0.333855;0;4000
0;7;157700;0.16862;0;4000
0;1;157984;0.662;0;4000
0;6;158047;0.662;0;4000
0;4;158668;0.267245;0;4000
0;3;158937;0.2177;0;4000
0;3;159587;0.17375;0;4000
0;5;159647;0.662;0;4000
0;3;160180;0.662;0;4000
0;1;160181;0.662;0;4000
0;7;160326;0.177293;0;4000
